,NAME,TOTAL ROUNDS,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL DISTANCE,TOTAL DRIVES,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL SG:PUTTING,MEASURED ROUNDS_x,SG:OTT,SG:APR,SG:ARG,TOTAL SG:T,MEASURED ROUNDS_y,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,1ST,2ND,3RD,YEAR
86,Danny Lee,80,"5,654",10.181,"45,471",160,726,"1,116",928,"1,440",-0.27,9.737,69,0.157,-0.006999999999999999,-0.272,1.268,69,28.0,0.0,1.0,"6,005",,1.0,,2014
87,Will Wilcox,49,"3,456",14.153,"29,133",98,420,684,590,882,-0.24,-8.141,40,0.48700000000000004,0.203,-0.138,13.943,40,16.0,0.0,2.0,"6,443",,,,2014
88,Bo Van Pelt,83,"5,882",- 3.347,"43,695",150,727,"1,157","1,025","1,494",-0.24,-3.574,67,0.048,0.46799999999999997,-0.085,25.325,67,25.0,0.0,1.0,"5,939",,,,2014
89,Erik Compton,88,"6,251",- 18.025,"49,864",176,717,"1,226",999,"1,584",-0.27,21.133000000000003,75,-0.08900000000000001,0.066,-0.235,1.716,75,28.0,0.0,3.0,"5,688",,1.0,,2014
90,David Hearn,97,"6,856",14.477,"51,918",186,913,"1,353","1,159","1,746",-0.25,25.838,82,-0.11800000000000001,0.146,0.10800000000000001,36.991,82,28.0,0.0,3.0,"5,875",,,,2014
91,Justin Hicks,99,"7,006",6.718,"56,456",198,"1,013","1,379","1,273","1,782",-0.23,6.188,90,0.456,0.172,-0.631,5.952000000000001,90,30.0,0.0,3.0,"5,882",,1.0,1.0,2014
92,Stewart Cink,91,"6,471",- 23.887,"51,111",174,755,"1,270","1,087","1,638",-0.25,-9.399,72,-0.006999999999999999,0.442,-0.192,8.122,72,25.0,0.0,,"5,939",,,,2014
93,Andres Romero,77,"5,466",- 10.358,"45,363",154,589,"1,075",839,"1,386",-0.28,25.399,72,0.05,-0.381,0.124,10.472999999999999,72,26.0,0.0,1.0,"6,150",,,,2014
94,Louis Oosthuizen,46,"3,292",- 32.804,"25,240",84,391,642,550,828,-0.23,-12.882,30,0.7240000000000001,-0.145,-0.36700000000000005,-6.517,30,16.0,0.0,1.0,"6,352",,,,2014
95,K.J. Choi,80,"5,701",- 31.396,"42,535",152,716,"1,115",894,"1,440",-0.28,22.255,67,-0.33899999999999997,0.049,0.251,19.63,67,23.0,0.0,2.0,"5,786",,2.0,,2014
96,Brad Fritsch,48,"3,388",14.612,"28,267",96,403,669,562,864,-0.26,-1.9469999999999998,39,-0.048,0.098,0.06,2.342,39,18.0,0.0,3.0,"6,483",,,,2014
97,Jason Bohn,81,"5,741",1.290,"45,363",162,732,"1,127",944,"1,458",-0.26,9.201,73,-0.475,0.185,0.038,-9.259,73,25.0,0.0,3.0,"5,794",,1.0,1.0,2014
98,Justin Leonard,75,"5,335",- 17.872,"40,539",150,679,"1,044",780,"1,350",-0.25,30.750999999999998,62,-0.752,-0.49700000000000005,0.5710000000000001,-11.252,62,22.0,0.0,2.0,"6,314",,,1.0,2014
99,Morgan Hoffmann,99,"7,008",11.010,"58,486",198,747,"1,381","1,118","1,782",-0.29,45.523,90,-0.172,-0.425,0.125,3.045,90,32.0,0.0,2.0,"4,232",,,1.0,2014
100,Troy Merritt,62,"4,391",4.790,"35,359",124,532,866,726,"1,116",-0.27,1.325,55,-0.213,0.261,-0.171,-5.461,55,20.0,0.0,1.0,"6,196",,1.0,,2014
101,Jason Dufner,54,"3,843",- 14.391,"28,526",100,482,756,644,972,-0.26,-24.208000000000002,42,0.316,0.59,0.192,21.916,42,17.0,0.0,4.0,"6,007",,1.0,,2014
102,Michael Putnam,102,"7,232",.360,"59,769",204,868,"1,421","1,231","1,836",-0.23,-37.202,91,0.111,0.469,-0.063,9.853,91,30.0,0.0,1.0,"6,097",,,,2014
103,Robert Allenby,81,"5,741",3.554,"46,157",162,694,"1,129",986,"1,458",-0.2,-11.431,70,-0.05,0.552,-0.23399999999999999,7.37,70,29.0,0.0,,"6,367",,,,2014
104,Vijay Singh,83,"5,899",- 11.520,"48,093",166,703,"1,159",977,"1,494",-0.22,-43.983000000000004,76,0.16699999999999998,0.126,0.261,-1.868,76,25.0,0.0,1.0,"6,005",,1.0,,2014
105,Scott Brown,100,"7,071",22.568,"55,140",192,931,"1,399","1,170","1,800",-0.27,17.502,83,0.27699999999999997,-0.139,-0.005,28.635,83,30.0,0.0,4.0,"5,984",,,1.0,2014
106,Ben Crane,81,"5,740",7.304,"45,204",162,749,"1,128",925,"1,458",-0.25,10.725999999999999,78,-0.297,-0.009000000000000001,0.017,-11.862,78,25.0,1.0,2.0,"5,606",1.0,,,2014
107,Ryo Ishikawa,75,"5,313",10.513,"41,328",142,556,"1,044",877,"1,350",-0.31,5.682,62,-0.259,0.395,0.095,20.002,62,24.0,0.0,3.0,"5,869",,1.0,,2014
108,Matt Jones,83,"5,896",- 1.295,"46,823",158,678,"1,159",945,"1,494",-0.3,8.511000000000001,60,0.23600000000000002,-0.42100000000000004,0.157,6.792999999999999,60,25.0,1.0,1.0,"5,754",1.0,,,2014
109,Jhonattan Vegas,75,"5,308",18.650,"45,726",150,641,"1,048",933,"1,350",-0.23,-23.675,64,0.628,-0.439,0.125,-3.5780000000000003,64,23.0,0.0,2.0,"6,277",,,1.0,2014
110,Brice Garnett,88,"6,234",17.411,"50,915",176,724,"1,229","1,032","1,584",-0.25,8.475,78,-0.055999999999999994,-0.19699999999999998,-0.002,-11.452,78,28.0,0.0,1.0,"6,317",,,,2014
111,Bud Cauley,56,"3,960",19.363,"32,856",112,450,782,680,"1,008",-0.23,-17.896,46,-0.073,-0.109,0.467,-4.832,46,19.0,0.0,1.0,"6,448",,,,2014
112,J.J. Henry,87,"6,170",12.599,"50,590",174,781,"1,213","1,090","1,566",-0.2,-14.565999999999999,78,0.192,-0.11900000000000001,-0.105,-17.051,78,28.0,0.0,,"6,380",,,,2014
113,Charlie Wi,70,"4,973",1.658,"39,335",140,563,975,767,"1,260",-0.24,7.308,65,-0.35,-0.253,0.38299999999999995,-7.0329999999999995,65,25.0,0.0,,"6,476",,,,2014
114,Tyrone Van Aswegen,78,"5,533",10.453,"45,234",156,583,"1,089",901,"1,404",-0.26,1.074,65,-0.735,0.29100000000000004,0.18100000000000002,-16.054000000000002,65,25.0,0.0,,"6,450",,,,2014
115,Jonathan Byrd,72,"5,107",10.986,"41,481",144,617,"1,002",841,"1,296",-0.25,-17.614,65,0.079,-0.265,0.159,-19.399,65,24.0,0.0,1.0,"6,422",,,1.0,2014
116,Spencer Levin,59,"4,187",7.084,"33,051",118,533,821,683,"1,062",-0.24,-4.683,50,-0.22399999999999998,-0.113,0.107,-16.203,50,20.0,0.0,,"6,559",,,,2014
117,"Ted Potter, Jr.",68,"4,836",- 2.060,"37,864",136,658,946,797,"1,224",-0.22,-12.934000000000001,60,0.134,0.096,-0.10400000000000001,-5.4079999999999995,60,24.0,0.0,,"6,494",,,,2014
118,Pat Perez,84,"5,973",.241,"48,114",168,702,"1,169",973,"1,512",-0.26,18.859,75,-0.28,0.063,-0.039,-0.303,75,25.0,0.0,3.0,"6,123",,1.0,,2014
119,Bryce Molder,73,"5,182",9.147,"38,458",138,605,"1,017",840,"1,314",-0.26,15.929,64,-0.763,0.006,0.275,-14.936,64,25.0,0.0,2.0,"6,240",,,,2014
120,Ken Duke,78,"5,532",16.680,"40,775",148,765,"1,090",943,"1,404",-0.22,-26.967,66,-0.092,0.32899999999999996,-0.006,-11.759,66,25.0,0.0,,"6,500",,,,2014
121,Andrew Loupe,61,"4,340",- .354,"37,576",122,426,852,693,"1,098",-0.26,17.494,50,0.22,-0.509,-0.196,-6.78,50,22.0,0.0,1.0,"6,425",,,,2014
122,Steven Bowditch,93,"6,622",- 5.517,"55,447",186,715,"1,297","1,061","1,674",-0.26,-45.28,78,-0.002,0.094,0.307,-14.173,78,30.0,1.0,1.0,"5,592",1.0,,,2014
123,Hudson Swafford,71,"5,049",3.824,"42,248",142,637,991,879,"1,278",-0.23,-11.617,58,0.305,0.015,-0.436,-18.320999999999998,58,26.0,0.0,1.0,"6,454",,,,2014
124,Sangmoon Bae,76,"5,402",6.739,"41,549",144,652,"1,062",861,"1,368",-0.29,27.179000000000002,65,0.179,-0.299,-0.081,14.056,65,24.0,0.0,,"6,339",,,,2014
125,James Hahn,80,"5,698",- 3.088,"46,337",160,677,"1,113",921,"1,440",-0.23,-22.331999999999997,73,0.162,0.009000000000000001,-0.102,-17.238,73,27.0,0.0,2.0,"6,349",,,,2014
126,Michael Thompson,74,"5,258",10.336,"38,172",132,644,"1,035",875,"1,332",-0.27,27.951,60,-0.21100000000000002,-0.046,-0.06,8.923,60,22.0,0.0,1.0,"6,290",,,,2014
127,Martin Flores,85,"6,046",5.942,"47,957",162,672,"1,185","1,018","1,530",-0.24,-9.76,68,-0.001,0.391,-0.028999999999999998,14.839,68,26.0,0.0,1.0,"6,271",,,1.0,2014
128,Wes Roach,63,"4,479",6.997,"36,919",126,536,878,728,"1,134",-0.26,-0.015,50,-0.149,-0.107,-0.298,-27.719,50,22.0,0.0,1.0,"6,491",,,,2014
129,Chesson Hadley,84,"5,991",- 9.175,"48,814",168,667,"1,170",953,"1,512",-0.27,2.884,71,-0.319,0.242,-0.102,-9.926,71,29.0,1.0,4.0,"5,467",1.0,,,2014
130,Brian Davis,93,"6,618",6.621,"49,511",178,872,"1,297","1,029","1,674",-0.26,11.779000000000002,81,-0.064,-0.419,0.39899999999999997,4.928,81,28.0,0.0,,"6,267",,,,2014
131,Sean O'Hair,77,"5,480",5.511,"46,271",154,576,"1,072",879,"1,386",-0.25,5.51,67,0.121,-0.473,0.026000000000000002,-16.374000000000002,67,25.0,0.0,1.0,"6,527",,,,2014
132,John Huh,83,"5,920",- 7.070,"44,849",158,775,"1,159",962,"1,494",-0.23,-11.142000000000001,70,-0.059000000000000004,0.016,0.033,-11.82,70,28.0,0.0,2.0,"6,107",,,2.0,2014
133,Greg Chalmers,81,"5,767",4.338,"45,469",162,660,"1,128",873,"1,458",-0.27,62.482,73,-0.503,-0.636,0.151,-9.728,73,27.0,0.0,1.0,"6,403",,,,2014
134,Charlie Beljan,72,"5,127",5.155,"43,741",144,592,"1,003",845,"1,296",-0.27,-15.491,67,0.523,-0.128,-0.45299999999999996,-19.35,67,26.0,0.0,1.0,"6,396",,,,2014
135,Gonzalo Fernandez-Castaño,82,"5,872",- 25.895,"44,938",156,688,"1,148",898,"1,476",-0.25,-8.265,69,-0.262,-0.07,0.24,-14.588,69,25.0,0.0,1.0,"5,942",,,,2014
136,Josh Teater,88,"6,269",5.507,"49,496",168,750,"1,225","1,031","1,584",-0.24,-16.385,75,0.239,-0.091,-0.07200000000000001,-10.71,75,28.0,0.0,,"6,471",,,,2014
137,Boo Weekley,72,"5,155",- 20.891,"36,614",127,702,"1,009",882,"1,296",-0.19,-64.497,56,0.732,0.044000000000000004,0.099,-15.526,56,24.0,0.0,1.0,"6,269",,,,2014
138,Chad Collins,74,"5,277",.328,"40,764",148,614,"1,029",799,"1,332",-0.25,26.719,61,-0.635,-0.522,0.273,-27.185,61,28.0,0.0,1.0,"6,510",,,,2014
139,Jamie Lovemark,60,"4,262",18.724,"36,292",120,452,838,701,"1,080",-0.26,-27.518,47,0.374,-0.321,0.18100000000000002,-16.487000000000002,47,20.0,0.0,,"6,593",,,,2014
140,Kevin Streelman,78,"5,581",- 15.385,"40,121",139,743,"1,092",888,"1,404",-0.28,0.33299999999999996,60,0.47100000000000003,-0.242,-0.162,4.4239999999999995,60,24.0,1.0,2.0,"5,451",1.0,,1.0,2014
141,Ben Curtis,73,"5,217",- 8.182,"40,811",146,659,"1,017",823,"1,314",-0.24,25.623,64,-0.257,-0.41600000000000004,0.057,-13.812999999999999,64,24.0,0.0,1.0,"6,399",,,,2014
142,Davis Love III,72,"5,138",.227,"42,664",144,591,"1,001",836,"1,296",-0.25,-22.774,63,0.17600000000000002,0.053,-0.285,-26.316,63,22.0,0.0,,"6,552",,,,2014
143,Russell Henley,92,"6,594",- 27.115,"51,688",176,822,"1,291","1,024","1,656",-0.28,24.92,75,0.205,-0.371,-0.272,-7.9639999999999995,75,29.0,1.0,3.0,"4,115",1.0,1.0,,2014
144,Rory Sabbatini,78,"5,569",- 1.270,"43,537",148,602,"1,085",918,"1,404",-0.25,-21.162,65,-0.065,0.021,-0.201,-37.089,65,26.0,0.0,3.0,"6,238",,,1.0,2014
145,Geoff Ogilvy,80,"5,723",- 9.201,"46,799",160,653,"1,116",929,"1,440",-0.23,-24.193,73,-0.02,0.038,-0.05,-26.5,73,26.0,1.0,2.0,"4,280",1.0,1.0,,2014
146,Martin Laird,62,"4,417",12.032,"34,477",116,533,870,740,"1,116",-0.26,-8.49,55,0.23800000000000002,-0.205,0.004,-6.402,55,20.0,0.0,1.0,"6,380",,,,2014
147,Johnson Wagner,65,"4,635",8.859,"37,322",130,516,906,750,"1,170",-0.23,2.927,58,-0.209,-0.254,-0.152,-32.795,58,24.0,0.0,1.0,"6,482",,,,2014
148,James Driscoll,71,"5,067",6.209,"40,353",142,520,987,778,"1,278",-0.27,7.1370000000000005,58,-0.6609999999999999,-0.146,-0.151,-48.418,58,25.0,0.0,,"6,494",,,,2014
149,David Lingmerth,76,"5,430",1.639,"41,729",144,633,"1,058",866,"1,368",-0.25,-5.82,67,0.094,-0.171,-0.142,-20.558000000000003,67,26.0,0.0,2.0,"6,414",,,,2014
150,John Peterson,60,"4,289",- .802,"34,574",120,535,836,708,"1,080",-0.21,-45.067,55,0.415,0.539,-0.614,-26.394000000000002,55,25.0,0.0,,"6,635",,,,2014
151,Trevor Immelman,80,"5,723",- 5.293,"46,685",160,654,"1,118",940,"1,440",-0.22,-31.78,67,-0.006,-0.013000000000000001,0.17600000000000002,-21.237,67,28.0,0.0,1.0,"6,451",,,,2014
152,Brian Gay,79,"5,639",8.912,"38,570",142,685,"1,105",842,"1,422",-0.24,16.901,63,-0.508,-0.501,0.276,-29.278000000000002,63,26.0,0.0,1.0,"6,430",,,,2014
153,Tommy Gainey,69,"4,926",8.200,"40,569",138,556,960,795,"1,242",-0.27,1.14,60,0.257,-0.057,-0.74,-31.285999999999998,60,26.0,0.0,1.0,"6,494",,,,2014
154,Richard Lee,78,"5,573",6.176,"42,188",148,673,"1,088",842,"1,404",-0.26,27.183000000000003,61,-0.15,-0.75,0.021,-26.374000000000002,61,27.0,0.0,2.0,"6,429",,,,2014
155,Jonas Blixt,62,"4,443",- 4.969,"30,899",108,488,869,682,"1,116",-0.28,13.027999999999999,43,-0.434,-0.299,0.221,-8.974,43,21.0,0.0,1.0,"6,206",,1.0,,2014
156,Jeff Maggert,54,"3,867",.063,"29,877",108,519,754,639,972,-0.2,-28.695999999999998,44,-0.135,0.2,-0.161,-32.899,44,19.0,0.0,1.0,"6,610",,,,2014
157,Roberto Castro,74,"5,326",- 26.311,"39,746",140,649,"1,031",805,"1,332",-0.25,-22.671,59,-0.122,-0.159,0.365,-17.692,59,27.0,0.0,1.0,"6,418",,,,2014
158,Jim Herman,58,"4,138",15.908,"34,181",116,503,809,693,"1,044",-0.23,-17.364,48,0.302,-0.23800000000000002,-0.551,-40.778,48,21.0,0.0,,"6,663",,,,2014
159,Nicholas Thompson,81,"5,811",- 6.743,"44,203",154,756,"1,127",972,"1,458",-0.21,-43.513999999999996,70,0.174,0.301,-0.371,-36.169000000000004,70,30.0,0.0,1.0,"6,368",,,1.0,2014
160,Briny Baird,50,"3,580",3.966,"28,159",100,444,697,571,900,-0.22,-7.024,45,-0.249,-0.183,0.013000000000000001,-25.874000000000002,45,17.0,0.0,1.0,"6,439",,1.0,,2014
161,Y.E. Yang,78,"5,591",2.546,"43,973",156,711,"1,087",866,"1,404",-0.25,-4.43,61,-0.09699999999999999,-0.586,0.22,-32.695,61,28.0,0.0,,"6,571",,,,2014
162,Mark Wilson,65,"4,662",.570,"36,346",130,607,906,740,"1,170",-0.19,-30.747,57,-0.23199999999999998,-0.11199999999999999,0.079,-45.826,57,25.0,0.0,,"6,663",,,,2014
163,Woody Austin,59,"4,244",- 11.176,"32,861",118,507,825,646,"1,062",-0.24,-7.81,57,-0.318,-0.16899999999999998,-0.21,-47.497,57,22.0,0.0,,"6,580",,,,2014
164,Kyle Stanley,83,"5,956",- 1.161,"47,008",158,710,"1,159",999,"1,494",-0.2,-99.73700000000001,72,0.44,0.623,-0.511,-60.021,72,28.0,0.0,1.0,"6,508",,,,2014
165,Bronson La'Cassie,47,"3,367",6.301,"26,779",94,392,656,519,846,-0.23,-3.17,36,-0.04,-0.535,0.145,-18.682000000000002,36,18.0,0.0,,"6,677",,,,2014
166,Mike Weir,65,"4,674",- 7.718,"35,252",130,478,906,672,"1,170",-0.24,13.559000000000001,53,-1.5819999999999999,0.257,0.44299999999999995,-33.194,53,25.0,0.0,1.0,"6,430",,1.0,,2014
167,Scott Stallings,76,"5,469",- 9.546,"43,257",144,594,"1,060",864,"1,368",-0.24,-19.191,63,0.135,-0.221,-0.28300000000000003,-42.42,63,28.0,1.0,1.0,"5,974",1.0,,,2014
168,Jim Renner,59,"4,262",- 23.280,"34,013",118,465,823,666,"1,062",-0.22,-41.196000000000005,52,-0.33899999999999997,0.36700000000000005,-0.248,-52.667,52,25.0,0.0,1.0,"6,459",,1.0,,2014
169,John Merrick,83,"5,948",15.689,"42,797",150,796,"1,160","1,017","1,494",-0.24,-40.919000000000004,72,0.129,0.252,-0.32899999999999996,-37.219,72,25.0,0.0,,"6,406",,,,2014
170,Kevin Tway,60,"4,317",- 2.280,"35,342",120,494,838,695,"1,080",-0.2,-7.357,47,0.048,-0.623,-0.102,-39.185,47,23.0,0.0,,"6,633",,,,2014
171,D.H. Lee,50,"3,606",- 10.292,"27,616",100,462,695,539,900,-0.2,1.062,45,-0.332,-0.591,0.10300000000000001,-35.84,45,20.0,0.0,,"6,711",,,,2014
172,John Rollins,80,"5,751",3.528,"44,101",152,668,"1,117",934,"1,440",-0.21,-16.864,67,-0.204,0.002,-0.193,-43.318999999999996,67,28.0,0.0,,"6,561",,,,2014
173,Lucas Glover,66,"4,775",- 7.636,"37,276",124,589,920,796,"1,188",-0.21,-69.30199999999999,47,0.335,0.469,-0.265,-43.979,47,26.0,0.0,,"6,676",,,,2014
174,Troy Matteson,58,"4,179",10.772,"34,422",116,430,810,647,"1,044",-0.23,-20.683000000000003,49,-0.264,-0.41700000000000004,-0.233,-65.494,49,23.0,0.0,1.0,"6,567",,,,2014
175,D.A. Points,73,"5,277",- 3.525,"36,982",130,640,"1,023",824,"1,314",-0.22,-18.917,55,-0.424,-0.308,-0.021,-60.317,55,27.0,0.0,,"6,599",,,,2014
176,Derek Ernst,76,"5,492",25.096,"42,770",144,686,"1,065",869,"1,368",-0.22,-35.154,63,0.312,-0.6940000000000001,-0.415,-85.436,63,28.0,0.0,,"6,587",,,,2014
0,Jordan Spieth,88,"6,080",- 13.449,"48,431",166,775,"1,232","1,075","1,584",-0.34,37.665,66,0.494,0.618,0.47100000000000003,142.131,66,25.0,5.0,15.0,,5.0,4.0,1.0,2015
1,Jason Day,72,"4,960",19.590,"45,166",144,570,"1,019",918,"1,296",-0.36,33.407,57,0.772,0.461,0.287,120.054,57,20.0,5.0,11.0,"1,510",5.0,,1.0,2015
2,Bubba Watson,68,"4,712",.139,"40,351",128,535,946,836,"1,206",-0.33,11.875,56,1.194,0.684,-0.002,116.927,56,19.0,2.0,10.0,"2,120",2.0,3.0,2.0,2015
3,Henrik Stenson,60,"4,179",- 17.760,"33,202",112,590,844,794,"1,080",-0.26,19.205,44,0.44799999999999995,1.244,0.08199999999999999,97.245,44,16.0,0.0,8.0,"1,493",,4.0,,2015
4,Dustin Johnson,72,"5,027",- 16.865,"45,109",142,562,"1,012",869,"1,296",-0.34,6.932,54,0.96,0.579,-0.212,78.55199999999999,54,21.0,1.0,11.0,"2,440",1.0,2.0,,2015
5,Justin Rose,66,"4,614",- 10.884,"37,636",124,594,930,838,"1,188",-0.31,1.123,49,0.55,0.6920000000000001,0.228,73.18,49,20.0,1.0,8.0,"2,565",1.0,3.0,1.0,2015
6,Zach Johnson,87,"6,061",7.472,"48,615",172,873,"1,226","1,074","1,566",-0.29,2.778,70,0.24,0.605,0.23600000000000002,78.417,70,25.0,1.0,10.0,"2,350",1.0,,1.0,2015
7,Will Wilcox,54,"3,741",28.416,"29,064",98,516,748,705,972,-0.28,13.22,41,0.662,0.14400000000000002,0.057999999999999996,48.615,41,17.0,0.0,4.0,"6,321",,1.0,,2015
8,Paul Casey,82,"5,721",3.089,"46,450",156,741,"1,155","1,068","1,476",-0.27,0.9109999999999999,63,0.392,0.991,-0.182,76.616,63,24.0,0.0,8.0,"3,168",,2.0,2.0,2015
9,Jim Furyk,64,"4,497",- 26.922,"36,084",128,621,899,804,"1,152",-0.24,-1.252,52,0.064,1.081,0.513,84.986,52,19.0,1.0,7.0,"3,496",1.0,,1.0,2015
10,Brooks Koepka,81,"5,666",- 7.282,"49,312",160,653,"1,139","1,013","1,458",-0.3,27.372,65,0.40700000000000003,0.2,0.052000000000000005,70.245,65,23.0,1.0,8.0,"3,386",1.0,,1.0,2015
11,Hideki Matsuyama,91,"6,355",9.529,"48,885",166,830,"1,272","1,121","1,620",-0.3,5.34,70,0.496,0.637,0.254,102.473,70,25.0,0.0,9.0,"3,242",,1.0,2.0,2015
12,Sergio Garcia,56,"3,937",- 19.340,"28,802",96,471,792,681,"1,008",-0.29,-0.784,36,0.442,0.46799999999999997,0.157,37.624,36,15.0,0.0,4.0,"5,793",,2.0,,2015
13,Matt Kuchar,94,"6,568",15.746,"53,658",186,834,"1,319","1,126","1,692",-0.31,24.322,77,0.136,0.20199999999999999,0.479,87.212,77,25.0,0.0,7.0,"3,270",,1.0,1.0,2015
14,Ryan Palmer,77,"5,410",- 12.171,"43,955",144,603,"1,066",914,"1,368",-0.28,7.937,54,0.35600000000000004,0.529,-0.07200000000000001,51.852,54,22.0,0.0,5.0,"5,584",,1.0,,2015
15,Justin Thomas,106,"7,379",52.153,"63,667",210,859,"1,475","1,315","1,908",-0.31,4.012,96,0.35200000000000004,0.385,0.188,92.89299999999999,96,30.0,0.0,7.0,"5,472",,,,2015
16,Kevin Na,95,"6,667",- 5.513,"48,732",174,832,"1,331","1,104","1,710",-0.29,16.544,71,-0.32899999999999996,0.381,0.66,67.027,71,27.0,0.0,7.0,"3,390",,1.0,,2015
17,Robert Streb,110,"7,685",29.255,"65,357",220,923,"1,552","1,369","1,980",-0.29,36.561,96,0.309,0.175,0.228,104.93799999999999,96,30.0,1.0,9.0,"3,258",1.0,1.0,,2015
18,Brandt Snedeker,95,"6,660",4.975,"51,920",180,808,"1,325","1,111","1,710",-0.29,44.074,75,-0.126,-0.19899999999999998,0.344,45.544,75,27.0,1.0,8.0,"3,384",1.0,1.0,,2015
19,Louis Oosthuizen,63,"4,425",- 4.934,"35,261",118,523,874,762,"1,116",-0.27,-10.341,47,0.33899999999999997,0.397,0.08800000000000001,28.413,47,20.0,0.0,6.0,"3,624",,2.0,,2015
20,Rickie Fowler,72,"5,064",- 7.406,"40,367",136,622,"1,002",841,"1,278",-0.31,17.616,57,0.12300000000000001,0.59,0.066,62.023999999999994,57,21.0,2.0,7.0,"1,962",2.0,1.0,1.0,2015
21,Jason Bohn,95,"6,623",49.308,"52,655",190,947,"1,323","1,178","1,710",-0.3,20.775,87,0.019,0.561,-0.042,67.61399999999999,87,27.0,0.0,6.0,"5,597",,2.0,,2015
22,Harris English,102,"7,139",24.957,"60,286",202,835,"1,427","1,231","1,836",-0.28,49.298,88,0.009000000000000001,0.207,0.0,68.373,88,29.0,0.0,3.0,"3,440",,1.0,1.0,2015
23,Jimmy Walker,86,"6,047",- 3.991,"48,854",162,633,"1,212","1,023","1,548",-0.31,44.265,64,-0.161,0.33399999999999996,0.068,59.711000000000006,64,24.0,2.0,6.0,"3,242",2.0,2.0,,2015
24,Tony Finau,106,"7,423",26.756,"64,897",210,802,"1,477","1,290","1,908",-0.31,-0.5329999999999999,92,0.38299999999999995,0.22399999999999998,0.027000000000000003,57.797,92,31.0,0.0,5.0,"5,677",,,,2015
25,Patrick Reed,100,"7,013",16.190,"53,893",184,762,"1,391","1,148","1,782",-0.3,29.919,76,-0.071,0.263,0.273,65.248,76,27.0,1.0,4.0,"3,144",1.0,1.0,,2015
26,Webb Simpson,78,"5,470",14.204,"45,146",156,745,"1,098",952,"1,404",-0.25,-41.373999999999995,64,0.225,0.5820000000000001,0.539,44.777,64,22.0,0.0,5.0,"5,757",,1.0,,2015
27,Kevin Kisner,104,"7,300",15.824,"59,862",208,972,"1,454","1,240","1,872",-0.26,22.516,94,0.316,0.141,-0.068,59.06,94,30.0,0.0,6.0,"3,356",,3.0,,2015
28,Jerry Kelly,79,"5,520",40.268,"43,515",157,775,"1,100",938,"1,422",-0.28,16.49,66,0.073,-0.052000000000000005,0.166,28.793000000000003,66,24.0,0.0,4.0,"6,004",,,,2015
29,Daniel Summerhays,101,"7,084",26.088,"57,365",202,870,"1,408","1,193","1,818",-0.3,57.333,89,-0.111,0.19399999999999998,-0.18600000000000003,48.137,89,29.0,0.0,5.0,"5,469",,,,2015
30,Danny Lee,120,"8,409",38.814,"65,103",230,"1,070","1,674","1,419","2,160",-0.3,37.446,100,-0.301,0.718,-0.062,72.89,100,36.0,1.0,8.0,"2,677",1.0,1.0,2.0,2015
31,Brendan Steele,84,"5,892",22.690,"50,277",166,717,"1,173","1,036","1,512",-0.3,-3.5469999999999997,76,0.363,0.6,0.040999999999999995,72.798,76,24.0,0.0,4.0,"5,766",,1.0,,2015
32,Russell Knox,96,"6,727",33.413,"54,605",192,910,"1,343","1,224","1,728",-0.25,-1.8259999999999998,87,0.098,0.622,0.107,70.153,87,28.0,0.0,3.0,"5,535",,,2.0,2015
33,Ian Poulter,65,"4,599",- 21.631,"34,978",122,569,895,757,"1,152",-0.27,10.82,48,-0.054000000000000006,0.235,0.147,26.601999999999997,48,19.0,0.0,4.0,"5,989",,,1.0,2015
34,Shawn Stefani,94,"6,594",25.574,"55,704",188,813,"1,310","1,164","1,692",-0.29,6.539,88,0.332,0.28300000000000003,-0.192,43.778999999999996,88,26.0,0.0,3.0,"5,799",,1.0,,2015
35,Rory Sabbatini,81,"5,670",35.259,"44,074",152,679,"1,126",989,"1,458",-0.27,-6.992999999999999,66,0.094,0.375,0.09699999999999999,30.396,66,25.0,0.0,4.0,"5,906",,,,2015
36,Keegan Bradley,84,"5,915",2.775,"48,362",158,762,"1,175","1,021","1,512",-0.28,-4.473,64,0.436,0.389,0.263,65.156,64,24.0,0.0,3.0,"5,867",,,,2015
37,Adam Scott,48,"3,401",- 19.095,"27,425",88,403,664,589,846,-0.26,-12.662,32,0.682,0.114,-0.195,6.577000000000001,32,15.0,0.0,3.0,"6,385",,,,2015
38,Francesco Molinari,53,"3,738",- 3.722,"29,849",106,572,744,678,954,-0.22,-10.948,43,0.324,0.5720000000000001,-0.037000000000000005,25.980999999999998,43,16.0,0.0,2.0,"6,412",,,1.0,2015
39,George McNeill,93,"6,532",22.429,"53,225",186,832,"1,298","1,112","1,674",-0.27,18.879,89,-0.223,0.645,-0.071,50.107,89,27.0,0.0,1.0,"5,884",,,,2015
40,Lee Westwood,52,"3,692",- 26.822,"26,404",88,437,732,622,936,-0.28,19.046,32,0.094,0.292,-0.102,28.112,32,15.0,0.0,1.0,"6,394",,,,2015
41,Brendon Todd,93,"6,546",13.549,"48,638",176,918,"1,307","1,096","1,674",-0.28,44.218999999999994,76,-0.168,0.136,0.28,63.067,76,27.0,0.0,4.0,"5,691",,,,2015
